iter	Passed	Remaining
691	1642	731
692	1650	731
693	1652	728
694	1653	725
695	1655	722
696	1662	722
697	1669	722
698	1670	719
699	1695	726
700	1705	727
701	1712	727
702	1716	725
703	1721	723
704	1726	722
705	1732	721
706	1750	725
707	1751	722
708	1753	719
709	1757	717
710	1760	715
711	1762	712
712	1764	710
713	1765	707
714	1768	704
715	1773	703
716	1775	700
717	1778	698
718	1779	695
719	1782	693
720	1784	690
721	1787	688
722	1789	685
723	1791	682
724	1792	679
725	1794	677
726	1796	674
727	1797	671
728	1799	668
729	1802	666
730	1804	663
731	1805	661
732	1807	658
733	1809	655
734	1811	653
735	1813	650
736	1816	648
737	1817	645
738	1819	642
739	1821	639
740	1822	636
741	1823	634
742	1825	631
743	1827	628
744	1831	627
745	1833	624
746	1835	621
747	1837	618
748	1839	616
749	1840	613
750	1842	610
751	1847	609
752	1848	606
753	1850	603
754	1853	601
755	1855	598
756	1859	596
757	1861	594
758	1863	591
759	1864	588
760	1866	586
761	1868	583
762	1870	580
763	1871	578
764	1874	575
765	1876	573
766	1877	570
767	1879	567
768	1881	565
769	1882	562
770	1884	559
771	1886	557
772	1888	554
773	1890	551
774	1891	549
775	1893	546
776	1895	543
777	1897	541
778	1898	538
779	1900	536
780	1902	533
781	1904	531
782	1906	528
783	1908	525
784	1909	523
785	1911	520
786	1913	517
787	1914	515
788	1917	512
789	1918	510
790	1920	507
791	1922	504
792	1923	502
793	1925	499
794	1927	496
795	1929	494
796	1932	492
797	1934	489
798	1935	486
799	1937	484
800	1939	481
801	1941	479
802	1942	476
803	1945	474
804	1947	471
805	1948	469
806	1950	466
807	1952	463
808	1953	461
809	1955	458
810	1956	455
811	1958	453
812	1960	450
813	1962	448
814	1963	445
815	1965	443
816	1966	440
817	1968	438
818	1970	435
819	1972	432
820	1977	431
821	1978	428
822	1981	426
823	1983	423
824	1985	421
825	1991	419
826	1993	416
827	1995	414
828	1996	411
829	1998	409
830	2000	406
831	2001	404
832	2005	402
833	2008	399
834	2010	397
835	2013	394
836	2015	392
837	2016	389
838	2019	387
839	2021	385
840	2023	382
841	2025	380
842	2026	377
843	2028	374
844	2030	372
845	2031	369
846	2034	367
847	2035	364
848	2037	362
849	2039	359
850	2042	357
851	2043	355
852	2045	352
853	2048	350
854	2052	348
855	2054	345
856	2057	343
857	2061	341
858	2065	339
859	2067	336
860	2069	334
861	2072	331
862	2075	329
863	2079	327
864	2081	324
865	2082	322
866	2084	319
867	2085	317
868	2087	314
869	2089	312
870	2091	309
871	2094	307
872	2114	307
873	2118	305
874	2120	302
875	2125	300
876	2140	300
877	2142	297
878	2144	295
879	2146	292
880	2148	290
881	2150	287
882	2151	285
883	2153	282
884	2156	280
885	2157	277
886	2159	275
887	2161	272
888	2162	270
889	2164	267
890	2166	264
891	2168	262
892	2170	260
893	2172	257
894	2173	255
895	2175	252
896	2177	249
897	2178	247
898	2180	244
899	2182	242
900	2185	240
901	2187	237
902	2188	235
903	2190	232
904	2191	230
905	2193	227
906	2195	225
907	2196	222
908	2200	220
909	2201	217
910	2203	215
911	2204	212
912	2206	210
913	2208	207
914	2210	205
915	2212	202
916	2214	200
917	2216	197
918	2217	195
919	2219	192
920	2220	190
921	2222	188
922	2223	185
923	2225	183
924	2227	180
925	2229	178
926	2230	175
927	2232	173
928	2234	170
929	2235	168
930	2237	165
931	2238	163
932	2240	160
933	2242	158
934	2244	156
935	2245	153
936	2247	151
937	2249	148
938	2250	146
939	2252	143
940	2253	141
941	2256	138
942	2258	136
943	2260	134
944	2261	131
945	2263	129
946	2265	126
947	2266	124
948	2268	121
949	2269	119
950	2271	117
951	2273	114
952	2275	112
953	2277	109
954	2278	107
955	2279	104
956	2281	102
957	2282	100
958	2283	97
959	2285	95
960	2286	92
961	2288	90
962	2290	88
963	2292	85
964	2293	83
965	2294	80
966	2296	78
967	2297	75
968	2299	73
969	2301	71
970	2303	68
971	2304	66
972	2305	63
973	2307	61
974	2308	59
975	2309	56
976	2310	54
977	2312	52
978	2313	49
979	2315	47
980	2316	44
981	2318	42
982	2319	40
983	2320	37
984	2321	35
985	2323	32
986	2324	30
987	2325	28
988	2326	25
989	2328	23
990	2330	21
991	2331	18
992	2332	16
993	2333	14
994	2335	11
995	2336	9
996	2337	7
997	2338	4
998	2339	2
999	2340	0
